0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:17:25 +0530] "GET /LestLearnBootstrap/img/w3newbie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:20:55 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 2977
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:20:55 +0530] "GET /LestLearnBootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:20:55 +0530] "GET /LestLearnBootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:20:55 +0530] "GET /LestLearnBootstrap/img/w3newbie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:20:55 +0530] "GET /LestLearnBootstrap/img/snow.png HTTP/1.1" 200 2562453
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:20:56 +0530] "GET /LestLearnBootstrap/img/red.png HTTP/1.1" 200 2623518
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:24:06 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 3225
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:24:06 +0530] "GET /LestLearnBootstrap/img/mountains.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:24:22 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 3223
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:25:09 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 3225
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:25:37 +0530] "GET /LestLearnBootstrap/css/bootstrap.min.css.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:35:14 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 3251
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:35:14 +0530] "GET /LestLearnBootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:35:14 +0530] "GET /LestLearnBootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:35:14 +0530] "GET /LestLearnBootstrap/img/w3newbie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:35:14 +0530] "GET /LestLearnBootstrap/img/snow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:35:14 +0530] "GET /LestLearnBootstrap/img/red.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:35:49 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 3221
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:37:26 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 3221
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:38:06 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 3221
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:38:06 +0530] "GET /LestLearnBootstrap/img/mountains.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:38:51 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 3225
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:39:14 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 3225
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:39:14 +0530] "GET /LestLearnBootstrap/css/bootstrap.min.css.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:39:35 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 3225
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:40:54 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 3191
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:14:38 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 3652
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:14:38 +0530] "GET /LestLearnBootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:14:38 +0530] "GET /LestLearnBootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:14:38 +0530] "GET /LestLearnBootstrap/img/w3newbie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:14:38 +0530] "GET /LestLearnBootstrap/img/mountains.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:14:38 +0530] "GET /LestLearnBootstrap/img/snow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:14:38 +0530] "GET /LestLearnBootstrap/img/red.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:14:38 +0530] "GET /LestLearnBootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:14:49 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 3644
